Reading 1,Reading 2,Reading 3,Reading 4,Label
244,234,135,140,empty
244,234,135,140,empty
244,235,135,139,empty
244,234,135,140,empty
244,234,135,139,empty
244,235,135,141,empty
244,234,135,140,empty
244,234,135,140,empty
244,235,135,139,empty
244,235,135,140,empty
244,234,135,140,empty
245,235,137,141,empty
245,236,136,141,empty
245,235,136,141,empty
245,235,136,141,empty
245,235,136,140,empty
245,235,136,141,empty
244,235,136,140,empty
244,235,136,141,empty
244,235,136,140,empty
245,235,136,140,empty
245,235,136,141,empty
244,234,135,139,empty
244,235,136,140,empty
244,235,135,140,empty
244,234,136,140,empty
244,234,135,140,empty
244,234,135,140,empty
244,234,135,139,empty
244,234,135,140,empty
244,234,135,140,empty
244,234,135,140,empty
244,235,135,140,empty
244,234,135,139,empty
244,234,135,140,empty
244,234,135,140,empty
244,234,135,140,empty
244,234,135,140,empty
244,234,135,140,empty
244,234,136,140,empty
244,234,135,140,empty
244,235,136,140,empty
244,234,136,139,empty
244,234,135,140,empty
244,235,135,139,empty
244,234,135,140,empty
244,234,135,139,empty
245,235,135,140,empty
244,234,135,140,empty
244,235,136,140,empty
244,234,135,140,empty
244,235,136,140,empty
244,235,135,140,empty
244,235,135,140,empty
244,235,135,140,empty
244,234,135,140,empty
244,234,135,140,empty
244,234,135,140,empty
244,234,135,139,empty
243,234,135,139,empty
244,234,135,140,empty
244,234,135,140,empty
244,234,136,140,empty
245,235,136,141,empty
245,235,135,141,empty
245,235,136,141,empty
244,235,136,140,empty
244,235,135,140,empty
244,234,135,139,empty
244,234,136,140,empty
244,234,135,140,empty
244,234,135,140,empty
244,234,135,140,empty
244,234,135,139,empty
244,234,134,140,empty
243,234,135,139,empty
244,234,135,140,empty
244,234,135,140,empty
244,234,135,139,empty
244,234,135,140,empty
244,234,134,139,empty
